species,disease,symptoms,urgency,contagious,source
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, drooling",moderate,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, lumps, drooling",moderate,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, drooling",moderate,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, weight_loss",moderate,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, drooling",moderate,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, lumps",moderate,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, drooling",moderate,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, weight_loss",moderate,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, weight_loss",moderate,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, drooling, weight_loss",moderate,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, weight_loss, lumps, skin_lesions, drooling",severe,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, skin_lesions, drooling",severe,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, weight_loss, drooling",severe,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, skin_lesions, weight_loss, lumps",severe,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, weight_loss, skin_lesions",severe,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, weight_loss, drooling",severe,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, skin_lesions, weight_loss, lumps, drooling",severe,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, drooling, weight_loss, skin_lesions, lumps",severe,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, lumps, drooling",severe,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, skin_lesions, lumps, weight_loss",severe,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, skin_lesions, lumps, drooling",severe,no,augmented_round3_validated
Cat,Squamous Cell Carcinoma,"bad_breath, dental_issues, skin_lesions, weight_loss, drooling, lumps",severe,no,augmented_round3_validated
