species,disease,symptoms,urgency,contagious,source
Dog,Canine distemper,"fever, coughing, nasal_discharge, eye_discharge, vomiting, diarrhea, seizures",medium,no,overhaul_simple
Dog,Canine influenza,"a_dry_cough,_which_often_persists_for_weeks, fever, nasal_and_eye_discharge, sneezing, decreased_appetite, lethargy_or_decreased_energy",medium,no,overhaul_simple
Dog,Canine parvovirus,"lethargy, lack_of_appetite, fever, vomiting, diarrhea",high,yes,overhaul_simple
Dog,Heartworms,"cough, lethargy, exercise_intolerance, collapse, sudden_death, weight_loss, difficulty_breathing, excessive_panting, heart_failure, ascites",medium,no,overhaul_simple
Dog,Kennel cough,"coughing, gagging_or_retching, runny_nose_or_eyes, sneezing, decreased_energy, vomiting",medium,no,overhaul_simple
Dog,Rabies,"fever, decreased_energy, decreased_appetite, weakness_or_paralysis_of_the_legs, seizures, difficulty_breathing, hypersalivation, abnormal_behaviour, aggression, paralysis",medium,no,overhaul_simple
Cat,Obesity,"difficulty_jumping_or_climbing_stairs, loss_of_a_visible_waistline, dirty,_messy,_unkempt_hair_coat, collar_keeps_getting_tighter",medium,no,overhaul_simple
Dog,Cataracts,"bumping_into_objects_when_walking, inflammation_of_the_eye_or_red_eye, bulging_of_dog’s_eye_globe, squinting, pawing_the_eye, rubbing_face_or_head_along_the_furniture",medium,no,overhaul_simple
Dog,Arthritis,"stiffness, limping_or_lameness, difficulty_with_movement, slowing_down, irritability_or_grumpiness, muscle_loss, joint_swelling",medium,no,overhaul_simple
Turtle,Ear infections,"bulging_tympanic_membrane, lump_on_the_side_of_the_head, pain_when_mouth_is_opened, head_shaking, sensitivity_around_the_ears, decreased_appetite, lethargy",medium,no,overhaul_simple
Fish,Diarrhea,"urgency:_emergency, contagious:_no, disease:_cystitis, species:_cat, status:_[_]_missing, primary_sources_:, 1._source:_petmd, symptoms_extracted:",medium,no,overhaul_simple
Cat,Broken bones,"lameness, pain, joint_swelling, crepitus, abnormal_conformation_of_the_affected_limb, broken_bone_protruding_from_the_skin, swelling_or_bruising_of_the_limb_or_body_part, ✅_14_retained_—_all_relevant_and_observable.",medium,no,overhaul_simple
Cat,Chronic Kidney Disease,"increased_thirst, vomiting, dehydration, sores_in_the_mouth, foul_breath, weight_loss, muscle_wasting, decreased_appetite_and_nausea, changes_in_body_temperature, urinary_accidents, edema, constipation, changes_in_behavior, high_blood_pressure",medium,no,overhaul_simple
Cat,Cat Acne,"redness_or_swelling, bumps_and_pustules, scabs_and_crusts, pain_around_the_chin",medium,no,overhaul_simple
Cat,Diabetes,"increased_thirst, increase_in_frequency_and_volume_of_urination, urinating_outside_the_litter_box, weight_loss, vomiting, lethargy_or_weakness, muscle_wasting, poor_coat_quality, behavioral_changes, plantigrade_stance",medium,no,overhaul_simple
Cat,Eosinophilic Granuloma Complex,"skin_lesions, excessive_licking_and_scratching",medium,no,overhaul_simple
Cat,Feline Immunodeficiency Virus,"acute_phase, fever, lethargy, enlarged_lymph_nodes, acquired_immunodeficiency_syndrome, lethargy, poor_appetite, weight_loss, redness_or_sores_in_the_mouth, vomiting, diarrhea, eye_inflammation_and_drainage, coughing_or_sneezing, difficulty_breathing",medium,no,overhaul_simple
Cat,Feline Infectious Peritonitis,"wet_fip, enlarged_abdomen, increased_heart_rate, difficulty_breathing, bluish_gums, enlarged_lymph_nodes, yellow_discoloration_of_the_skin, dry_fip, eye_redness, cloudy_eyes, bleeding_in_the_eyes, squinting, blindness, seizures, incoordination, walking_in_circles, head_tilt, enlarged_lymph_nodes",medium,no,overhaul_simple
Cat,Feline Leukemia Virus,"pale_gums, decreased_appetite, weight_loss, unthrifty_coat, inflamed_gums_and_mouth, fever, enlarged_lymph_nodes, chronic_diarrhea",medium,no,overhaul_simple
Cat,Feline Lower Urinary Tract Disease,"frequent_urination, blood_in_urine, vocalizing_while_urinating",medium,no,overhaul_simple
Cat,Feline Panleukopenia Virus,"lethargy, depression, vomiting, diarrhea, dehydration, weight_loss, rough_or_unkempt_hair_coat, fever, decreased_to_absent_appetite, mild_to_severe_intention_tremors, poor_body_coordination",medium,no,overhaul_simple
Rabbit,Fleas,"self_biting_or_chewing, excessive_scratching,_licking, visible_bite_marks_or_evidence_of_fleas, hair_loss, scaling_on_the_skin, pale_mucous_membranes,_increased_heart_rate, secondary_bacterial_infections",medium,no,overhaul_simple
Cat,Hyperthyroidism,"weight_loss, increased_appetite, unkempt_appearance, poor_body_condition, vomiting, diarrhea, drinking_more_than_usual, peeing_more_than_usual, rapid_breathing, difficulty_breathing, hyperactivity_or_restlessness, aggression, thickened_nails",medium,no,overhaul_simple
Cat,Inflammatory Bowel Disease,"diarrhea, weight_loss, fatigue, chronic_intermittent_vomiting, gas, abdominal_pain, rumbling_and_gurgling_abdominal_sounds, bright_red_blood_in_the_stool, bright_red_blood_in_the_stool, distressed_coat_hair",medium,no,overhaul_simple
Cat,Intestinal Parasites,"dull_coat, coughing, vomiting, diarrhea, mucousy_or_bloody_feces, loss_of_appetite, pale_mucous_membranes, potbellied_appearance, anemia",medium,no,overhaul_simple
Cat,Mammary Tumors,"ulceration_on_the_glands, discharge",medium,no,overhaul_simple
Cat,Mast Cell Tumor,"small_lumps_that_feel_very_firm_within_the_skin, excessive_itchiness_and_associated_hair_loss, ulceration, vomiting, weight_loss, poor_appetite, vomiting_and_diarrhea, fresh_blood_in_the_stool, black_or_tarry_stool,_indicating_digested_blood",medium,no,overhaul_simple
Cat,Obesity,"difficulty_jumping_or_climbing_stairs, loss_of_a_visible_waistline, dirty,_messy,_unkempt_hair_coat, collar_keeps_getting_tighter",medium,no,overhaul_simple
Cat,Osteoarthritis,"limping, swollen_joints, muscle_wasting, hesitant_to_jump_or_play, decreased_energy",medium,no,overhaul_simple
Cat,Pancreatitis,"acute_cases, vomiting, weight_loss, decreased_appetite, diarrhea_or_soft_stool, abdominal_pain, chronic_cases",medium,no,overhaul_simple
Cat,Periodontal Disease,"loose_teeth, tooth_loss, decreased_appetite_or_anorexia, gum_recession, exposed_tooth_roots, teeth_chattering, tooth_resorption",medium,no,overhaul_simple
Cat,Pyometra,"decreased_appetite, fever, weight_change, increased_thirst_and_urination, lethargy, dehydration, distended_or_tender_abdomen, vomiting_and_diarrhea, increased_heart_rate, increased_respiratory_rate, unkempt_haircoat",medium,no,overhaul_simple
Cat,Squamous Cell Carcinoma,"drooling, small_white_growth_under_the_tongue, loose_teeth, bad_breath, difficulty_chewing_and_eating, lack_of_appetite, blood_coming_from_the_mouth, weight_loss",medium,no,overhaul_simple
Cat,Upper Respiratory Infection,"sneezing, drainage_from_the_eyes, conjunctivitis, squinting, nasal_drainage_or_crust, nasal_congestion, decreased_or_absent_appetite, cough, lethargy, fever, ulcers_in_the_mouth, lymph_node_swelling, difficulty_breathing",medium,no,overhaul_simple
Rabbit,Urethral Obstruction,"bloody_urine, urgency_to_urinate, urinating_smaller_amounts_more_often, straining_to_urinate, urinating_outside_the_litter_box, licking_the_genital_area, vocalization_as_if_in_pain_or_distress, lethargy_or_increased_hiding, decreased_appetite",medium,no,overhaul_simple
Rabbit,Overgrown teeth,"reduced_appetite, drooling, weight_loss, dropping_food, reduced_appetite_or_refusal_to_eat, watery_eyes, facial_or_jaw_swelling, tooth_grinding",medium,no,overhaul_simple
Rabbit,Hairballs,"decreased_or_absent_appetite, decreased_fluid_intake, decreased_fecal_output, lethargy, abdominal_distention_–_stomach_looks_enlarged",medium,no,overhaul_simple
Rabbit,Snuffles,"nasal_discharge, sneezing, decreased_appetite_or_anorexia, weight_loss, lethargy, conjunctivitis, head_tilt, ear_infection, abscesses, difficulty_breathing, lameness, eye_infection, reproductive_difficulties, sudden_death",medium,no,overhaul_simple
Rabbit,Myxomatosis,"early_signs_of_myxomatosis_include:, white_eye_and_nasal_discharge, ear_droop, purple_or_blue_spots_on_the_skin, severe_signs_of_myxomatosis_include:, fever, lethargy, anorexia, difficulty_breathing, skin_hemorrhage, seizures, secondary_bacterial_infections,_pneumonia, septicemia_within_10_14_days_of_infection, acute_death_in_5_7_days_of_infection",medium,no,overhaul_simple
Rabbit,Ear mites,"signs_of_ear_mites_in_rabbits_include:, intense_itching, ear_scratching, ear_drooping, head_shaking, head_tilt, reddish_brown_ear_discharge_and_crusting, inflamed_and_bloody_ear_canals, restlessness, lethargy, decreased_appetite, face, dewlap, neck, trunk, limbs, feet, abdomen",medium,no,overhaul_simple
Rabbit,Fleas,"self_biting_or_chewing, excessive_scratching,_licking, visible_bite_marks_or_evidence_of_fleas, hair_loss, scaling_on_the_skin, pale_mucous_membranes,_increased_heart_rate, secondary_bacterial_infections",medium,no,overhaul_simple
Rabbit,Sore hocks,"foot_sores, reluctance_to_move, pain, hair_loss_on_feet, swelling",medium,no,overhaul_simple
Rabbit,Flystrike,"lethargy, decreased_appetite, decreased_grooming, foul_odor, infected_wounds, presence_of_fly_larvae, red,_swollen,_or_ulcerated_skin",medium,no,overhaul_simple
Rabbit,Breathing difficulties,"noisy_or_labored_breathing, fast_or_shallow_breathing, nasal_and_eye_discharge, sneezing, changes_in_behavior, reduced_appetite, stained_fur, emergency_signs, open_mouth_breathing, blue_tinted_lips_or_tongue, head_tilting_or_upward_pointing_head",medium,no,overhaul_simple
Rabbit,Gastrointestinal stasis,"decreased_or_no_appetite, reduced_or_no_fecal_output, grinding_teeth,_or_bruxism, bloating, diarrhea, abdominal_pain_when_touched, hunched_posture",medium,no,overhaul_simple
Bird,Conjunctivitis,"eye_redness, swelling_of_the_eye_and_head, blinking_and_squinting, cloudy_eyes, glassy_eyes, rapid_head_movements, scratching_at_the_eye, rubbing_the_eye, not_eating, lethargy",medium,no,overhaul_simple
Rabbit,Corneal ulceration,"squinting_and_blinking, eye_discharge, redness_and_swelling, cloudiness, light_sensitivity, pawing_or_rubbing",medium,no,overhaul_simple
Rabbit,Otitis media/interna,"sudden_loss_of_balance,_dizziness, head_tilting_to_one_side, anorexia_or_teeth_grinding_due_to_nausea, reluctance_to_move,_digging_at_the_cage_floor, discharge_from_ears,_dry_eyes,_throat_infection",medium,no,overhaul_simple
Rabbit,Splay leg,"legs_splayed_outward, inability_to_stand, difficulty_walking, dragging_legs",medium,no,overhaul_simple
Rabbit,Rhinitis,"sneezing, runny_nose, reduced_airflow, lack_of_appetite, slobbering_or_excessive_saliva, dental_disease, discharge_from_the_eyes_or_other_orifices",medium,no,overhaul_simple
