species,disease,symptoms,urgency,contagious,source
Dog,[Leptospirosis],"Symptoms extracted:, Lethargy, Decreased appetite and eventual weight loss, Vomiting, Diarrhea, Fever, Pain, Edema, Bruising, Bleeding from the gums, Blood in the urine, stool, or nose, Muscle pain, stiffness, and reluctance to move, Jaundice, characterized by yellowing of the eyes, gums, or skin, Increased drinking and urinating, Oral ulcers and bad breath, Difficulty breathing and coughing, Uveitis, often manifesting as cloudy or red eyes with squinting, Dehydration, Sudden miscarriage, Lethargy, Decreased appetite and eventual weight loss, Vomiting, Diarrhea, Fever, Pain, Edema, Bruising, Bleeding from the gums, Blood in the urine, stool, or nose, Muscle pain, stiffness, and reluctance to move, Jaundice, characterized by yellowing of the eyes, gums, or skin, Increased drinking and urinating, Oral ulcers and bad breath, Difficulty breathing and coughing, Uveitis, often manifesting as cloudy or red eyes with squinting, Dehydration, Sudden miscarriage",high,zoonotic,research
Dog,Giarda,"Foul-smelling, green-tinged diarrhea, Lethargic / low energy, Loss of appetite / not eating, Abdominal discomfort or bloating, Weight loss / losing body condition, Foul-smelling, green-tinged diarrhea, Lethargic / low energy, Loss of appetite / not eating, Abdominal discomfort or bloating, Weight loss / losing body condition",medium,zoonotic,research
Dog,Tapeworms,"Scooting the rear end along the ground, Licking or biting at the tail or anal area, Visible worm segments in stool or stuck in fur near the anus, Weight loss / losing body condition, Vomiting entire tapeworms, Possible intestinal blockage, Scooting the rear end along the ground, Licking or biting at the tail or anal area, Visible worm segments in stool or stuck in fur near the anus, Weight loss / losing body condition, Vomiting entire tapeworms, Possible intestinal blockage",medium,zoonotic,research
Dog,Whipworms,"Diarrhea, sometimes with bright red blood or mucus, Weight loss / losing body condition, Dehydration / dry gums and sunken eyes, Anemia / pale gums and low energy, Electrolyte imbalances (high potassium, low sodium) causing weakness or lethargy, Occasional visible small thread-like worms in stool, Diarrhea, sometimes with bright red blood or mucus, Weight loss / losing body condition, Dehydration / dry gums and sunken eyes, Anemia / pale gums and low energy, Electrolyte imbalances (high potassium, low sodium) causing weakness or lethargy, Occasional visible small thread-like worms in stool",medium,zoonotic,research
Dog,Canine Enteric Coronavirus,"Diarrhea, sometimes bloody, Vomiting / frequent regurgitation, Loss of appetite / not eating, Abdominal pain / bloating or tenderness, Lethargic / very low energy, Dehydration / dry gums and sunken eyes, Feverish / high body temperature, Seizures, Diarrhea, sometimes bloody, Vomiting / frequent regurgitation, Loss of appetite / not eating, Abdominal pain / bloating or tenderness, Lethargic / very low energy, Dehydration / dry gums and sunken eyes, Feverish / high body temperature, Seizures",medium,yes,research
Dog,Canine respiratory coronavirus,"Persistent coughing, Frequent sneezing, Labored or difficulty breathing, Watery or pus-like eye discharge, Runny or congested nose, Gagging or regurgitating after coughing, Feverish / high body temperature, Lethargic / very low energy, Loss of appetite / not eating, Persistent coughing, Frequent sneezing, Labored or difficulty breathing, Watery or pus-like eye discharge, Runny or congested nose, Gagging or regurgitating after coughing, Feverish / high body temperature, Lethargic / very low energy, Loss of appetite / not eating",medium,yes,research
Dog,Infectious Canine Hepatitis,"Lethargy / unusually low energy, Increased thirst / drinking more water than usual, Loss of appetite / not eating, Red or inflamed eyes / conjunctivitis, Watery discharge from eyes and nose, Cloudy or bluish eyes, Abdominal pain / tenderness, Vomiting, sometimes with blood, Small red or purple spots on oral mucosa, Enlarged tonsils, Rapid heartbeat disproportionate to fever, Swelling under the skin of head, neck, or trunk, Lethargy / unusually low energy, Increased thirst / drinking more water than usual, Loss of appetite / not eating, Red or inflamed eyes / conjunctivitis, Watery discharge from eyes and nose, Cloudy or bluish eyes, Abdominal pain / tenderness, Vomiting, sometimes with blood, Small red or purple spots on oral mucosa, Enlarged tonsils, Rapid heartbeat disproportionate to fever, Swelling under the skin of head, neck, or trunk",high,yes,research
Dog,Pyoderma,"Red, inflamed, or itchy skin, Circular crusts or scabs on the skin, Flaky or dandruff-like skin, Patchy hair loss / alopecia, Small raised pustules or pimple-like lesions, Open sores or oozing pus from scratching or biting, Thickened or darkened skin in chronic cases, Swelling or draining tracts in deep infections, Lethargy / low energy, Loss of appetite / not eating, Pain or trembling, Red, inflamed, or itchy skin, Circular crusts or scabs on the skin, Flaky or dandruff-like skin, Patchy hair loss / alopecia, Small raised pustules or pimple-like lesions, Open sores or oozing pus from scratching or biting, Thickened or darkened skin in chronic cases, Swelling or draining tracts in deep infections, Lethargy / low energy, Loss of appetite / not eating, Pain or trembling",medium,no,research
Dog,Hot Spots,"Red, inflamed, and raw skin lesions, Moist or oozing areas on the skin, Intermittent bleeding from the affected area, Pain or tenderness when touched, Rapidly spreading lesion due to licking, chewing, or scratching, Licking, biting, or scratching at the lesion, Localized hair loss around the lesion, Red, inflamed, and raw skin lesions, Moist or oozing areas on the skin, Intermittent bleeding from the affected area, Pain or tenderness when touched, Rapidly spreading lesion due to licking, chewing, or scratching, Licking, biting, or scratching at the lesion, Localized hair loss around the lesion",medium,no,research
Dog,Urinary Tract Infection,"Straining or difficulty urinating, Painful or uncomfortable urination, Passing small amounts of urine / dribbling, Frequent urination / increased urination attempts, Urinary accidents indoors, Licking or biting at the genital region, Swelling or inflammation of the genital area, Saliva-stained fur around the genitals, Blood in the urine, Discharge from the genitals, Strong or unusual odor of urine, Increased thirst / drinking more water than usual, Lethargy / low energy, Fever, Loss of appetite / not eating, Straining or difficulty urinating, Painful or uncomfortable urination, Passing small amounts of urine / dribbling, Frequent urination / increased urination attempts, Urinary accidents indoors, Licking or biting at the genital region, Swelling or inflammation of the genital area, Saliva-stained fur around the genitals, Blood in the urine, Discharge from the genitals, Strong or unusual odor of urine, Increased thirst / drinking more water than usual, Lethargy / low energy, Fever, Loss of appetite / not eating",medium,no,research
