species,disease,symptoms,urgency,contagious,source
Dog,[Leptospirosis],"Oral ulcers and bad breath, extreme lethargy, characterized by yellowing of the eyes",high,zoonotic,variation_1
Dog,[Leptospirosis],"Muscle pain, Lethargy, stiffness, Lethargy, Fever, Decreased appetite and eventual weight loss, mild pain",high,zoonotic,variation_2
Dog,[Leptospirosis],"Oral ulcers and bad breath, Difficulty breathing and coughing, Pain, mild fever",high,zoonotic,variation_3
Dog,[Leptospirosis],"Uveitis, mild pain, Bleeding from the gums, gums, stiffness, Fever",high,zoonotic,variation_4
Dog,[Leptospirosis],"Jaundice, Uveitis, Muscle pain, Difficulty breathing and coughing",high,zoonotic,variation_5
Dog,[Leptospirosis],"often manifesting as cloudy or red eyes with squinting, characterized by yellowing of the eyes, stiffness, Vomiting",high,zoonotic,variation_6
Dog,[Leptospirosis],"Diarrhea, Dehydration, Blood in the urine, characterized by yellowing of the eyes, Muscle pain",high,zoonotic,variation_7
Dog,[Leptospirosis],"Oral ulcers and bad breath, Jaundice, Bruising, Bleeding from the gums",high,zoonotic,variation_8
Dog,[Leptospirosis],"Edema, Vomiting, labored breathing",high,zoonotic,variation_9
Dog,[Leptospirosis],"Symptoms extracted:, or nose, Bleeding from the gums, Vomiting, Jaundice, Edema",high,zoonotic,variation_10
Dog,[Leptospirosis],"Pain, Difficulty breathing and coughing, stool, Pain, stiffness",high,zoonotic,variation_11
Dog,[Leptospirosis],"and reluctance to move, complete exhaustion, Uveitis, or skin, Vomiting, Edema",high,zoonotic,variation_12
Dog,[Leptospirosis],"Edema, or nose, Bruising, Muscle pain, Lethargy",high,zoonotic,variation_13
Dog,[Leptospirosis],"stiffness, Diarrhea, and reluctance to move",high,zoonotic,variation_14
Dog,[Leptospirosis],"stiffness, Vomiting, or skin",high,zoonotic,variation_15
Dog,[Leptospirosis],"Bruising, Muscle pain, Jaundice, Fever, Bruising",high,zoonotic,variation_16
Dog,[Leptospirosis],"Difficulty breathing and coughing, Vomiting, Sudden miscarriage, Increased drinking and urinating, Vomiting, Lethargy",high,zoonotic,variation_17
Dog,[Leptospirosis],"stool, Vomiting, characterized by yellowing of the eyes, mild lethargy",high,zoonotic,variation_18
Dog,[Leptospirosis],"and reluctance to move, Blood in the urine, Difficulty breathing and coughing",high,zoonotic,variation_19
Dog,[Leptospirosis],"Vomiting, often manifesting as cloudy or red eyes with squinting, Jaundice, extreme lethargy, gums, Symptoms extracted:",high,zoonotic,variation_20
Dog,[Leptospirosis],"stool, Vomiting, Diarrhea",high,zoonotic,variation_21
Dog,[Leptospirosis],"or nose, and reluctance to move, characterized by yellowing of the eyes, Diarrhea",high,zoonotic,variation_22
Dog,[Leptospirosis],"Jaundice, Edema, stool, Increased drinking and urinating, Jaundice, Blood in the urine",high,zoonotic,variation_23
Dog,[Leptospirosis],"Pain, Muscle pain, Bruising",high,zoonotic,variation_24
Dog,[Leptospirosis],"or skin, Decreased appetite and eventual weight loss, or skin, Blood in the urine, Bruising",high,zoonotic,variation_25
Dog,[Leptospirosis],"Bleeding from the gums, Oral ulcers and bad breath, obvious pain",high,zoonotic,variation_26
Dog,[Leptospirosis],"Vomiting, Fever, stiffness, Lethargy, Jaundice, characterized by yellowing of the eyes, fever above 40°C",high,zoonotic,variation_27
Dog,[Leptospirosis],"Uveitis, or skin, Bruising, Dehydration, reduced appetite, Difficulty breathing and coughing",high,zoonotic,variation_28
Dog,[Leptospirosis],"Lethargy, Oral ulcers and bad breath, Jaundice, Sudden miscarriage, stool, Oral ulcers and bad breath",high,zoonotic,variation_29
Dog,[Leptospirosis],"Sudden miscarriage, often manifesting as cloudy or red eyes with squinting, stiffness, Lethargy, Jaundice",high,zoonotic,variation_30
Dog,Giarda,"green-tinged diarrhea, Abdominal discomfort or bloating, Lethargic / low energy",medium,zoonotic,variation_1
Dog,Giarda,"Weight loss / losing body condition, Foul-smelling, Lethargic / low energy, Weight loss / losing body condition, green-tinged diarrhea",medium,zoonotic,variation_2
Dog,Giarda,"Abdominal discomfort or bloating, Loss of appetite / not eating, Weight loss / losing body condition",medium,zoonotic,variation_3
Dog,Giarda,"Lethargic / low energy, green-tinged diarrhea, Foul-smelling, Abdominal discomfort or bloating, Weight loss / losing body condition, Lethargic / low energy",medium,zoonotic,variation_4
Dog,Giarda,"Weight loss / losing body condition, green-tinged diarrhea, Loss of appetite / not eating, Loss of appetite / not eating, Lethargic / low energy, Weight loss / losing body condition",medium,zoonotic,variation_5
Dog,Giarda,"refusing to eat, Foul-smelling, Lethargic / low energy, Weight loss / losing body condition, Lethargic / low energy",medium,zoonotic,variation_6
Dog,Giarda,"Foul-smelling, green-tinged diarrhea, Lethargic / low energy, Weight loss / losing body condition, Loss of appetite / not eating, Foul-smelling",medium,zoonotic,variation_7
