species,disease,symptoms,urgency,contagious,source
Dog,Canine distemper,"fever, discharge, seizures, vomiting, coughing",medium,no,overhaul_simple_augmented
Dog,Canine distemper,"coughing, discharge, seizures",medium,no,overhaul_simple_augmented
Dog,Canine distemper,"vomiting, fever, coughing",medium,no,overhaul_simple_augmented
Dog,Canine influenza,"sneezing, coughing, lethargy",medium,no,overhaul_simple_augmented
Dog,Canine influenza,"sneezing, lethargy",medium,no,overhaul_simple_augmented
Dog,Canine influenza,"coughing, lethargy, sneezing",medium,no,overhaul_simple_augmented
Dog,Canine parvovirus,"diarrhea, lethargy, vomiting",medium,no,overhaul_simple_augmented
Dog,Canine parvovirus,"lethargy, diarrhea",medium,no,overhaul_simple_augmented
Dog,Canine parvovirus,"lethargy, diarrhea, vomiting",medium,no,overhaul_simple_augmented
Dog,Heartworms,"lethargy, difficulty_breathing, coughing, sudden_death, weakness, panting, exercise_intolerance, heart_failure, weight_loss, ascites, fatigue",medium,no,overhaul_simple_augmented
Dog,Heartworms,"panting, ascites, exercise_intolerance, fatigue, difficulty_breathing, weight_loss, sudden_death, weakness",medium,no,overhaul_simple_augmented
Dog,Heartworms,"ascites, difficulty_breathing, sudden_death, fatigue, weakness, heart_failure, weight_loss, exercise_intolerance",medium,no,overhaul_simple_augmented
Dog,Kennel cough,"coughing, nasal_discharge, sneezing, vomiting, gagging, decreased_energy",medium,no,overhaul_simple_augmented
Dog,Kennel cough,"decreased_energy, nasal_discharge, vomiting, gagging",medium,no,overhaul_simple_augmented
Dog,Kennel cough,"nasal_discharge, coughing, vomiting, sneezing",medium,no,overhaul_simple_augmented
Dog,Rabies,"behavioral_change, abnormal_behaviour, loss_of_appetite, decreased_energy, difficulty_breathing, paralysis, aggression, hypersalivation, weakness, seizures, fever",medium,no,overhaul_simple_augmented
Dog,Rabies,"aggression, behavioral_change, abnormal_behaviour, loss_of_appetite, decreased_energy, difficulty_breathing, fever, hypersalivation, weakness",medium,no,overhaul_simple_augmented
Dog,Rabies,"decreased_energy, seizures, hypersalivation, loss_of_appetite, difficulty_breathing, abnormal_behaviour, behavioral_change",medium,no,overhaul_simple_augmented
Dog,Obesity,"decreased_exercise_tolerance, weight_gain, waistline_not_visible, less_energy_than_usual, being_unable_to_feel_the_ribs",medium,no,overhaul_simple_augmented
Dog,Obesity,"less_energy_than_usual, decreased_exercise_tolerance, weight_gain, waistline_not_visible",medium,no,overhaul_simple_augmented
Dog,Obesity,"less_energy_than_usual, decreased_exercise_tolerance, weight_gain",medium,no,overhaul_simple_augmented
Dog,Cataracts,"bumping_into_objects_when_walking, bulging_of_dogs_eye_globe, pawing_the_eye, squinting, inflammation_of_the_eye, rubbing_face, cloudy_eyes",medium,no,overhaul_simple_augmented
Dog,Cataracts,"pawing_the_eye, bulging_of_dogs_eye_globe, squinting, cloudy_eyes, rubbing_face",medium,no,overhaul_simple_augmented
Dog,Cataracts,"bumping_into_objects_when_walking, bulging_of_dogs_eye_globe, squinting, inflammation_of_the_eye, cloudy_eyes",medium,no,overhaul_simple_augmented
Dog,Arthritis,"limping, stiffness, irritability, swelling, difficulty_with_movement, muscle_loss, slowing_down",medium,no,overhaul_simple_augmented
Dog,Arthritis,"muscle_loss, stiffness, difficulty_with_movement, limping, irritability",medium,no,overhaul_simple_augmented
Dog,Arthritis,"limping, swelling, stiffness, muscle_loss",medium,no,overhaul_simple_augmented
Dog,Ear infections,"scratching, shaking_of_the_head, discharge, pain_upon_contact_with_ears, swelling, scabs, itching, odor, red_skin, head_tilt, head_shaking",medium,no,overhaul_simple_augmented
Dog,Ear infections,"red_skin, shaking_of_the_head, itching, scratching, pain_upon_contact_with_ears, discharge, head_shaking, head_tilt",medium,no,overhaul_simple_augmented
Dog,Ear infections,"swelling, pain_upon_contact_with_ears, odor, head_shaking, red_skin, head_tilt, itching, scabs",medium,no,overhaul_simple_augmented
Dog,Diarrhea,"diarrhea, increased_pooping_frequency, vomiting, lethargy, stool_change",medium,no,overhaul_simple_augmented
Dog,Diarrhea,"stool_change, vomiting, lethargy",medium,no,overhaul_simple_augmented
Dog,Diarrhea,"stool_change, diarrhea, vomiting",medium,no,overhaul_simple_augmented
Dog,Broken bones,"swelling, lameness, limping, broken_bone_protruding_from_the_skin, crepitus, abnormal_conformation_of_the_affected_limb, abdominal_pain",medium,no,overhaul_simple_augmented
Dog,Broken bones,"lameness, crepitus, broken_bone_protruding_from_the_skin, limping, abnormal_conformation_of_the_affected_limb",medium,no,overhaul_simple_augmented
Dog,Broken bones,"crepitus, swelling, limping, broken_bone_protruding_from_the_skin",medium,no,overhaul_simple_augmented
Cat,Chronic Kidney Disease,"urinary_accidents, dehydration, changes_in_behavior, high_blood_pressure, muscle_wasting, foul_breath, changes_in_frequency_of_urination, weight_loss, edema, loss_of_appetite, vomiting, skin_lesions, increased_thirst, constipation, changes_in_body_temperature, excessive_thirst",medium,no,overhaul_simple_augmented
Cat,Chronic Kidney Disease,"constipation, foul_breath, changes_in_body_temperature, high_blood_pressure, muscle_wasting, changes_in_frequency_of_urination, excessive_thirst, skin_lesions, dehydration, weight_loss, increased_thirst, changes_in_behavior, edema",medium,no,overhaul_simple_augmented
Cat,Chronic Kidney Disease,"loss_of_appetite, muscle_wasting, changes_in_frequency_of_urination, high_blood_pressure, dehydration, constipation, edema, foul_breath, urinary_accidents, weight_loss",medium,no,overhaul_simple_augmented
Cat,Cat Acne,"bumps, chin_blackheads, scabs, pain_around_the_chin, red_skin",medium,no,overhaul_simple_augmented
Cat,Cat Acne,"red_skin, pain_around_the_chin, bumps, scabs",medium,no,overhaul_simple_augmented
Cat,Cat Acne,"scabs, red_skin, chin_blackheads",medium,no,overhaul_simple_augmented
Cat,Diabetes,"weight_loss, poor_coat_quality, lethargy, increased_thirst, urinating_outside_the_litter_box, vomiting, behavioral_changes, muscle_wasting, increase_in_frequency_and_volume_of_urination, loss_of_appetite, plantigrade_stance",medium,no,overhaul_simple_augmented
Cat,Diabetes,"vomiting, lethargy, urinating_outside_the_litter_box, poor_coat_quality, weight_loss, behavioral_changes, increased_thirst, loss_of_appetite, increase_in_frequency_and_volume_of_urination",medium,no,overhaul_simple_augmented
Cat,Diabetes,"plantigrade_stance, urinating_outside_the_litter_box, weight_loss, increase_in_frequency_and_volume_of_urination, lethargy, behavioral_changes, poor_coat_quality, vomiting",medium,no,overhaul_simple_augmented
Cat,Eosinophilic Granuloma Complex,"scratching, skin_lesions, itching",medium,no,overhaul_simple_augmented
