species,disease,symptoms,urgency,contagious,source
Dog,Canine Parvovirus,"severe bloody diarrhea with foul odor, persistent vomiting, extreme lethargy and weakness, complete loss of appetite, high fever above 40°C, severe dehydration with sunken eyes, abdominal pain and bloating",emergency,yes,veterinary_manual
Dog,Canine Distemper,"thick yellow-green nasal discharge, persistent cough, high fever, watery eyes with discharge, lethargy and depression, loss of appetite, vomiting and diarrhea",high,yes,veterinary_manual
Dog,Tick Fever (Ehrlichiosis),"high fever that comes and goes, lethargy and weakness, loss of appetite, swollen lymph nodes, bleeding from nose or gums, pale gums, joint pain and stiffness",high,no,veterinary_manual
Dog,Mange (Scabies),"intense itching especially at night, hair loss starting at ears and elbows, thick crusty skin lesions, red inflamed skin, restlessness due to itching, secondary bacterial skin infections, unpleasant skin odor",medium,yes,veterinary_manual
Dog,Rabies,"excessive drooling and foaming at mouth, aggression and irritability, difficulty swallowing, paralysis starting in hind legs, fear of water, disorientation and confusion, seizures",emergency,zoonotic,veterinary_manual
Dog,Ear Infections (Otitis),"head shaking and tilting, scratching at ears, foul odor from ears, redness and swelling of ear canal, discharge from ears (yellow, brown, or bloody), pain when ears are touched, loss of balance",medium,no,veterinary_manual
Dog,Skin Allergies (Atopic Dermatitis),"constant scratching and licking, red inflamed skin especially on paws and belly, hair loss in patches, skin rashes and hot spots, ear infections, excessive paw licking and chewing",medium,no,veterinary_manual
Dog,Intestinal Parasites (Worms),"visible worms in feces or vomit, diarrhea sometimes with blood, vomiting, pot-bellied appearance, weight loss despite eating, dull coat, scooting rear end on ground",medium,yes,veterinary_manual
Dog,Kennel Cough,"dry hacking cough that sounds like honking, gagging or retching after coughing, clear nasal discharge, normal appetite and energy, coughing worsens with excitement or exercise",low,yes,veterinary_manual
Dog,Gastroenteritis,"vomiting multiple times, watery or bloody diarrhea, loss of appetite, abdominal pain and cramping, lethargy and weakness, dehydration, fever",high,no,veterinary_manual
