species,disease,symptoms,urgency,contagious,source
Dog,Canine Parvovirus,"severe dehydration with sunken eyes, severe bloody diarrhea with foul odor, extreme lethargy and weakness",emergency,yes,variation_1
Dog,Canine Parvovirus,"abdominal pain and bloating, complete loss of appetite, persistent vomiting, severe dehydration with sunken eyes, high fever above 40°C, mild lethargy, severe bloody diarrhea with foul odor",emergency,yes,variation_2
Dog,Canine Parvovirus,"extreme lethargy and weakness, abdominal pain and bloating, severe bloody diarrhea with foul odor, mild fever",emergency,yes,variation_3
Dog,Canine Parvovirus,"severe bloody diarrhea with foul odor, high fever, complete loss of appetite, abdominal pain and bloating, extreme lethargy and weakness, severe dehydration with sunken eyes",emergency,yes,variation_4
Dog,Canine Parvovirus,"persistent vomiting, severe dehydration with sunken eyes, extreme lethargy and weakness, abdominal pain and bloating",emergency,yes,variation_5
Dog,Canine Parvovirus,"extreme lethargy and weakness, persistent vomiting, abdominal pain and bloating, severe dehydration with sunken eyes, mild fever, selective eating",emergency,yes,variation_6
Dog,Canine Parvovirus,"abdominal pain and bloating, persistent vomiting, severe dehydration with sunken eyes, extreme lethargy and weakness, severe bloody diarrhea with foul odor, complete loss of appetite",emergency,yes,variation_7
Dog,Canine Parvovirus,"persistent vomiting, severe dehydration with sunken eyes, pain on touch",emergency,yes,variation_8
Dog,Canine Parvovirus,"signs of discomfort, severe dehydration with sunken eyes, complete loss of appetite, mild fever, severe bloody diarrhea with foul odor, persistent vomiting, severe weakness",emergency,yes,variation_9
Dog,Canine Parvovirus,"obvious pain, extreme lethargy and weakness, high fever above 40°C, severe bloody diarrhea with foul odor",emergency,yes,variation_10
Dog,Canine Parvovirus,"severe bloody diarrhea with foul odor, high fever above 40°C, severe dehydration with sunken eyes, complete loss of appetite",emergency,yes,variation_11
Dog,Canine Parvovirus,"high fever above 40°C, abdominal pain and bloating, extreme lethargy and weakness, persistent vomiting, complete loss of appetite",emergency,yes,variation_12
Dog,Canine Parvovirus,"abdominal pain and bloating, severe bloody diarrhea with foul odor, persistent vomiting",emergency,yes,variation_13
Dog,Canine Parvovirus,"abdominal pain and bloating, severe bloody diarrhea with foul odor, severe dehydration with sunken eyes",emergency,yes,variation_14
Dog,Canine Parvovirus,"persistent vomiting, extreme lethargy and weakness, high fever above 40°C, severe dehydration with sunken eyes, complete loss of appetite",emergency,yes,variation_15
Dog,Canine Parvovirus,"severe bloody diarrhea with foul odor, severe dehydration with sunken eyes, extreme lethargy and weakness, abdominal pain and bloating, complete loss of appetite",emergency,yes,variation_16
Dog,Canine Parvovirus,"severe bloody diarrhea with foul odor, abdominal pain and bloating, high fever above 40°C, severe dehydration with sunken eyes, extreme lethargy and weakness, persistent vomiting, complete loss of appetite",emergency,yes,variation_17
Dog,Canine Parvovirus,"abdominal pain and bloating, severe bloody diarrhea with foul odor, complete loss of appetite, persistent vomiting",emergency,yes,variation_18
Dog,Canine Parvovirus,"high fever above 40°C, persistent vomiting, complete loss of appetite, severe dehydration with sunken eyes, abdominal pain and bloating, severe bloody diarrhea with foul odor, extreme lethargy and weakness",emergency,yes,variation_19
Dog,Canine Parvovirus,"high fever above 40°C, persistent vomiting, abdominal pain and bloating, severe bloody diarrhea with foul odor",emergency,yes,variation_20
Dog,Canine Parvovirus,"high fever above 40°C, persistent vomiting, severe pain, extreme lethargy and weakness, severe bloody diarrhea with foul odor, severe dehydration with sunken eyes",emergency,yes,variation_21
Dog,Canine Parvovirus,"fever above 40°C, abdominal pain and bloating, persistent vomiting",emergency,yes,variation_22
Dog,Canine Parvovirus,"extreme lethargy and weakness, complete loss of appetite, severe bloody diarrhea with foul odor, high fever above 40°C",emergency,yes,variation_23
Dog,Canine Parvovirus,"persistent vomiting, high fever above 40°C, severe dehydration with sunken eyes",emergency,yes,variation_24
Dog,Canine Parvovirus,"severe bloody diarrhea with foul odor, high fever above 40°C, severe dehydration with sunken eyes, persistent vomiting, extreme lethargy and weakness, abdominal pain and bloating, loss of appetite",emergency,yes,variation_25
Dog,Canine Parvovirus,"complete exhaustion, high fever above 40°C, persistent vomiting, severe dehydration with sunken eyes, abdominal pain and bloating, severe bloody diarrhea with foul odor",emergency,yes,variation_26
Dog,Canine Parvovirus,"severe dehydration with sunken eyes, persistent vomiting, extreme lethargy and weakness",emergency,yes,variation_27
Dog,Canine Parvovirus,"complete loss of appetite, severe bloody diarrhea with foul odor, persistent vomiting, high fever above 40°C, severe dehydration with sunken eyes",emergency,yes,variation_28
Dog,Canine Parvovirus,"severe dehydration with sunken eyes, abdominal pain and bloating, selective eating, persistent vomiting, extreme lethargy and weakness, severe bloody diarrhea with foul odor",emergency,yes,variation_29
Dog,Canine Parvovirus,"severe dehydration with sunken eyes, complete loss of appetite, severe bloody diarrhea with foul odor, mild lethargy, persistent vomiting",emergency,yes,variation_30
Dog,Canine Distemper,"loss of appetite, lethargy and depression, high fever",high,yes,variation_1
