species,disease,symptoms,urgency,contagious,source
dog,Canine distemper,"My dog has running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis, also coughing, discharge, seizures, fever.",severe,yes,real
dog,Canine distemper,"My dog has been coughing, discharge, seizures, fever and running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis.",severe,yes,synthetic
dog,Canine distemper,"I noticed my dog has coughing, discharge, seizures, fever.",severe,yes,synthetic
dog,Canine distemper,"My dog keeps running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis.",severe,yes,synthetic
dog,Canine distemper,"I'm worried, my dog has coughing, discharge, seizures, fever.",severe,yes,synthetic
dog,Canine distemper,"My dog has been running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis and coughing, discharge, seizures, fever.",severe,yes,synthetic
dog,Canine distemper,"My dog has been coughing, discharge, seizures, fever and running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis.",severe,yes,synthetic
dog,Canine distemper,"My dog keeps running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis.",severe,yes,synthetic
dog,Canine distemper,"My dog has been coughing, discharge, seizures, fever and running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis.",severe,yes,synthetic
dog,Canine distemper,"My dog has running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis, also coughing, discharge, seizures, fever.",severe,yes,synthetic
dog,Canine distemper,"My dog won't stop running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis.",severe,yes,synthetic
dog,Canine distemper,"My dog is running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis with coughing, discharge, seizures, fever.",severe,yes,synthetic
dog,Canine distemper,"My dog shows running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis and coughing, discharge, seizures, fever.",severe,yes,synthetic
dog,Canine distemper,"My dog seems sick with coughing, discharge, seizures, fever.",severe,yes,synthetic
dog,Canine influenza,"My dog has coughing, sneezing, lethargy.",moderate,yes,real
dog,Canine influenza,"My dog keeps coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"I noticed my dog has coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"My dog keeps coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"I'm worried, my dog has coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"My dog seems sick with coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"My dog has coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"My dog keeps coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"My dog won't stop coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"I noticed my dog has coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"My dog won't stop coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"My dog has been coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"My dog has coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"My dog seems sick with coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine parvovirus,"My dog has vomiting, diarrhea, lethargy.",severe,yes,real
dog,Canine parvovirus,"My dog keeps vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"I noticed my dog has vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"My dog keeps vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"I'm worried, my dog has vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"My dog seems sick with vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"My dog has vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"My dog keeps vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"My dog won't stop vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"I noticed my dog has vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"My dog won't stop vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"My dog has been vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"My dog has vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"My dog seems sick with vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Fleas,"My dog has chewing at their skin, also frequent itching.",mild,yes,real
dog,Fleas,"My dog has been red, irritated skin and chewing at their skin.",mild,yes,synthetic
dog,Fleas,"I'm worried, my dog has visible fleas or flea dirt.",mild,yes,synthetic
dog,Fleas,My dog keeps chewing at their skin.,mild,yes,synthetic
dog,Fleas,"I'm worried, my dog has red, irritated skin.",mild,yes,synthetic
dog,Fleas,"My dog shows tiny skin bumps, red, irritated skin, and visible fleas or flea dirt.",mild,yes,synthetic
dog,Fleas,"My dog shows frequent itching, visible fleas or flea dirt, and tiny skin bumps.",mild,yes,synthetic
dog,Fleas,My dog keeps tiny skin bumps.,mild,yes,synthetic
dog,Fleas,My dog has been frequent itching with chewing at their skin and tiny skin bumps.,mild,yes,synthetic
dog,Fleas,"My dog has chewing at their skin, also tiny skin bumps.",mild,yes,synthetic
dog,Fleas,My dog won't stop tiny skin bumps.,mild,yes,synthetic
dog,Fleas,"My dog is tiny skin bumps with red, irritated skin.",mild,yes,synthetic
dog,Fleas,"My dog has tiny skin bumps, frequent itching, and red, irritated skin.",mild,yes,synthetic
dog,Fleas,My dog seems sick with visible fleas or flea dirt.,mild,yes,synthetic
dog,Heartworms,"My dog has excessive panting, also coughing, fatigue, exercise intolerance — still visible symptoms.",severe,no,real
dog,Heartworms,My dog has been collapse and excessive panting.,severe,no,synthetic
dog,Heartworms,My dog has been ascites.,severe,no,synthetic
dog,Heartworms,My dog keeps excessive panting.,severe,no,synthetic
dog,Heartworms,"I'm worried, my dog has collapse.",severe,no,synthetic
dog,Heartworms,"My dog shows difficulty breathing, collapse, and ascites.",severe,no,synthetic
dog,Heartworms,"My dog shows lethargy, coughing, fatigue, exercise intolerance — still visible symptoms, and difficulty breathing.",severe,no,synthetic
dog,Heartworms,My dog keeps difficulty breathing.,severe,no,synthetic
dog,Heartworms,"My dog has been coughing, fatigue, exercise intolerance — still visible symptoms with heart failure and difficulty breathing.",severe,no,synthetic
dog,Heartworms,"My dog has heart failure, also weight loss.",severe,no,synthetic
dog,Heartworms,My dog won't stop weight loss.,severe,no,synthetic
dog,Heartworms,My dog is difficulty breathing with sudden death.,severe,no,synthetic
dog,Heartworms,"My dog has weight loss, coughing, fatigue, exercise intolerance — still visible symptoms, and sudden death.",severe,no,synthetic
dog,Heartworms,My dog seems sick with collapse.,severe,no,synthetic
dog,Kennel cough,"My dog has sneezing, also coughing, gagging.",moderate,yes,real
dog,Kennel cough,My dog has been gagging or retching and sneezing.,moderate,yes,synthetic
dog,Kennel cough,"I'm worried, my dog has decreased energy.",moderate,yes,synthetic
dog,Kennel cough,My dog keeps sneezing.,moderate,yes,synthetic
dog,Kennel cough,My dog seems sick with vomiting.,moderate,yes,synthetic
dog,Kennel cough,"My dog has runny nose or eyes, gagging or retching, and vomiting.",moderate,yes,synthetic
dog,Kennel cough,"My dog has coughing, gagging, vomiting , and runny nose or eyes.",moderate,yes,synthetic
dog,Kennel cough,My dog keeps runny nose or eyes.,moderate,yes,synthetic
dog,Kennel cough,"My dog has been coughing, gagging with sneezing and runny nose or eyes.",moderate,yes,synthetic
dog,Kennel cough,"My dog has sneezing, also runny nose or eyes.",moderate,yes,synthetic
dog,Kennel cough,My dog won't stop runny nose or eyes.,moderate,yes,synthetic
dog,Kennel cough,My dog is runny nose or eyes with gagging or retching.,moderate,yes,synthetic
dog,Kennel cough,"My dog has runny nose or eyes, coughing, gagging, and sneezing.",moderate,yes,synthetic
dog,Kennel cough,My dog seems sick with decreased energy.,moderate,yes,synthetic
dog,Rabies,"My dog has difficulty breathing, also behavioral change, aggression, paralysis.",severe,yes,real
dog,Rabies,My dog has been decreased energy and difficulty breathing.,severe,yes,synthetic
dog,Rabies,My dog has been abnormal behaviour.,severe,yes,synthetic
dog,Rabies,My dog keeps difficulty breathing.,severe,yes,synthetic
dog,Rabies,"I'm worried, my dog has decreased energy.",severe,yes,synthetic
dog,Rabies,"My dog shows seizures, decreased energy, and abnormal behaviour.",severe,yes,synthetic
dog,Rabies,"My dog shows fever, behavioral change, aggression, paralysis, and seizures.",severe,yes,synthetic
dog,Rabies,My dog keeps seizures.,severe,yes,synthetic
dog,Rabies,"My dog has been behavioral change, aggression, paralysis with hypersalivation and seizures.",severe,yes,synthetic
dog,Rabies,"My dog has hypersalivation, also weakness or paralysis of the legs.",severe,yes,synthetic
dog,Rabies,My dog won't stop weakness or paralysis of the legs.,severe,yes,synthetic
dog,Rabies,My dog is seizures with decreased appetite.,severe,yes,synthetic
dog,Rabies,"My dog has weakness or paralysis of the legs, behavioral change, aggression, paralysis, and decreased appetite.",severe,yes,synthetic
dog,Rabies,My dog seems sick with decreased energy.,severe,yes,synthetic
dog,Obesity,"My dog has being unable to feel the ribs, also visible weight gain.",mild,no,real
dog,Obesity,My dog has been less energy than usual and being unable to feel the ribs.,mild,no,synthetic
dog,Obesity,"I'm worried, my dog has waistline not visible.",mild,no,synthetic
dog,Obesity,My dog keeps being unable to feel the ribs.,mild,no,synthetic
dog,Obesity,"I'm worried, my dog has less energy than usual.",mild,no,synthetic
dog,Obesity,"My dog shows decreased exercise tolerance, less energy than usual, and waistline not visible.",mild,no,synthetic
dog,Obesity,"My dog shows visible weight gain, waistline not visible, and decreased exercise tolerance.",mild,no,synthetic
dog,Obesity,My dog keeps decreased exercise tolerance.,mild,no,synthetic
dog,Obesity,My dog has been visible weight gain with being unable to feel the ribs and decreased exercise tolerance.,mild,no,synthetic
dog,Obesity,"My dog has being unable to feel the ribs, also decreased exercise tolerance.",mild,no,synthetic
dog,Obesity,My dog won't stop decreased exercise tolerance.,mild,no,synthetic
dog,Obesity,My dog is decreased exercise tolerance with less energy than usual.,mild,no,synthetic
dog,Obesity,"My dog has decreased exercise tolerance, visible weight gain, and less energy than usual.",mild,no,synthetic
dog,Obesity,My dog seems sick with waistline not visible.,mild,no,synthetic
dog,Diabetes,"My dog has cataracts, also increased thirst.",moderate,no,real
dog,Diabetes,My dog has been increased appetite and cataracts.,moderate,no,synthetic
dog,Diabetes,"I'm worried, my dog has seizure.",moderate,no,synthetic
dog,Diabetes,My dog keeps cataracts.,moderate,no,synthetic
dog,Diabetes,"I'm worried, my dog has increased appetite.",moderate,no,synthetic
dog,Diabetes,"My dog has dehydration, increased appetite, and diabetic neuropathy.",moderate,no,synthetic
dog,Diabetes,"My dog has increased urination, increased thirst, and lethargy.",moderate,no,synthetic
dog,Diabetes,My dog keeps dehydration.,moderate,no,synthetic
dog,Diabetes,"My dog shows increased thirst, vision getting worse, and poor coat and poor skin quality.",moderate,no,synthetic
dog,Diabetes,"My dog has vision getting worse, also lethargy.",moderate,no,synthetic
dog,Diabetes,My dog won't stop lethargy.,moderate,no,synthetic
dog,Diabetes,My dog is dehydration with weight loss.,moderate,no,synthetic
dog,Diabetes,"My dog has lethargy, increased thirst, and vision getting worse.",moderate,no,synthetic
dog,Diabetes,My dog seems sick with seizure.,moderate,no,synthetic
dog,Cataracts,My dog has rubbing face/head along the furniture and bulging of dog’s eye globe.,mild,no,real
dog,Cataracts,My dog has been bumping into objects when walking and bulging of dog’s eye globe.,mild,no,synthetic
dog,Cataracts,"I'm worried, my dog has squinting.",mild,no,synthetic
dog,Cataracts,My dog keeps bulging of dog’s eye globe.,mild,no,synthetic
dog,Cataracts,My dog seems sick with pawing the eye.,mild,no,synthetic
dog,Cataracts,"My dog has inflammation of the eye or red eye, bumping into objects when walking, and rubbing face/head along the furniture.",mild,no,synthetic
dog,Cataracts,"My dog has cloudy eyes, rubbing face/head along the furniture, and inflammation of the eye or red eye.",mild,no,synthetic
dog,Cataracts,My dog keeps inflammation of the eye or red eye.,mild,no,synthetic
dog,Cataracts,"My dog shows cloudy eyes, bulging of dog’s eye globe, and squinting.",mild,no,synthetic
dog,Cataracts,"My dog has bulging of dog’s eye globe, also inflammation of the eye or red eye.",mild,no,synthetic
dog,Cataracts,My dog won't stop inflammation of the eye or red eye.,mild,no,synthetic
dog,Cataracts,My dog is inflammation of the eye or red eye with bumping into objects when walking.,mild,no,synthetic
dog,Cataracts,"My dog has inflammation of the eye or red eye, cloudy eyes, and bulging of dog’s eye globe.",mild,no,synthetic
dog,Cataracts,My dog seems sick with squinting.,mild,no,synthetic
dog,Arthritis,My dog has joint swelling and slowing down.,mild,no,real
dog,Arthritis,My dog has been limping or lameness and slowing down.,mild,no,synthetic
dog,Arthritis,"I'm worried, my dog has irritability or grumpiness.",mild,no,synthetic
dog,Arthritis,My dog keeps slowing down.,mild,no,synthetic
dog,Arthritis,My dog seems sick with muscle loss.,mild,no,synthetic
dog,Arthritis,"My dog has difficulty with movement, limping or lameness, and joint swelling.",mild,no,synthetic
dog,Arthritis,"My dog has limping, stiffness, joint swelling, and difficulty with movement.",mild,no,synthetic
dog,Arthritis,My dog keeps difficulty with movement.,mild,no,synthetic
dog,Arthritis,"My dog shows limping, stiffness, slowing down, and irritability or grumpiness.",mild,no,synthetic
dog,Arthritis,"My dog has slowing down, also difficulty with movement.",mild,no,synthetic
dog,Arthritis,My dog won't stop difficulty with movement.,mild,no,synthetic
dog,Arthritis,My dog is difficulty with movement with limping or lameness.,mild,no,synthetic
dog,Arthritis,"My dog has difficulty with movement, limping, stiffness, and slowing down.",mild,no,synthetic
dog,Arthritis,My dog seems sick with irritability or grumpiness.,mild,no,synthetic
dog,Ear infections,"My dog has head tilt, also scratching ears, head shaking, discharge.",moderate,no,real
dog,Ear infections,My dog has been odor and head tilt.,moderate,no,synthetic
dog,Ear infections,My dog has been swelling of the ear flap.,moderate,no,synthetic
dog,Ear infections,My dog keeps head tilt.,moderate,no,synthetic
dog,Ear infections,"I'm worried, my dog has odor.",moderate,no,synthetic
dog,Ear infections,"My dog shows pain upon contact with ears, odor, and swelling of the ear flap.",moderate,no,synthetic
dog,Ear infections,"My dog shows redness of ears, scratching ears, head shaking, discharge, and pain upon contact with ears.",moderate,no,synthetic
dog,Ear infections,My dog keeps pain upon contact with ears.,moderate,no,synthetic
dog,Ear infections,"My dog has been scratching ears, head shaking, discharge with scabs or crusting around the ear flap and pain upon contact with ears.",moderate,no,synthetic
dog,Ear infections,"My dog has scabs or crusting around the ear flap, also shaking of the head.",moderate,no,synthetic
dog,Ear infections,My dog won't stop shaking of the head.,moderate,no,synthetic
dog,Ear infections,My dog is pain upon contact with ears with itching/scratching at ears.,moderate,no,synthetic
dog,Ear infections,"My dog has shaking of the head, scratching ears, head shaking, discharge, and itching/scratching at ears.",moderate,no,synthetic
dog,Ear infections,My dog seems sick with odor.,moderate,no,synthetic
dog,Diarrhea,"My dog has frequent vomiting, also visible stool change.",moderate,no,real
dog,Diarrhea,My dog has been loose or watery stool and frequent vomiting.,moderate,no,synthetic
