species,disease,symptoms,urgency,contagious,source
dog,Canine distemper,"I noticed my dog has coughing, discharge, seizures, fever.",severe,yes,synthetic
dog,Canine distemper,"I'm worried, my dog has coughing, discharge, seizures, fever.",severe,yes,synthetic
dog,Canine distemper,"My dog has been running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis and coughing, discharge, seizures, fever.",severe,yes,synthetic
dog,Canine distemper,"My dog keeps running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis.",severe,yes,synthetic
dog,Canine distemper,"My dog has been coughing, discharge, seizures, fever and running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis.",severe,yes,synthetic
dog,Canine distemper,"My dog has running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis, also coughing, discharge, seizures, fever.",severe,yes,synthetic
dog,Canine distemper,"My dog won't stop running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis.",severe,yes,synthetic
dog,Canine distemper,"My dog is running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis with coughing, discharge, seizures, fever.",severe,yes,synthetic
dog,Canine distemper,"My dog shows running nose and watery eyes to fever, vomiting, diarrhea, seizures and even paralysis and coughing, discharge, seizures, fever.",severe,yes,synthetic
dog,Canine distemper,"My dog seems sick with coughing, discharge, seizures, fever.",severe,yes,synthetic
dog,Canine influenza,"I'm worried, my dog has coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"My dog keeps coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"I noticed my dog has coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"My dog won't stop coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"My dog has been coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"My dog has coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine influenza,"My dog seems sick with coughing, sneezing, lethargy.",moderate,yes,synthetic
dog,Canine parvovirus,"I'm worried, my dog has vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"My dog keeps vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"I noticed my dog has vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"My dog won't stop vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"My dog has been vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"My dog has vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Canine parvovirus,"My dog seems sick with vomiting, diarrhea, lethargy.",severe,yes,synthetic
dog,Fleas,"My dog has chewing at their skin, also frequent itching.",mild,yes,real
dog,Fleas,"My dog has been red, irritated skin and chewing at their skin.",mild,yes,synthetic
dog,Fleas,"I'm worried, my dog has visible fleas or flea dirt.",mild,yes,synthetic
dog,Fleas,My dog keeps chewing at their skin.,mild,yes,synthetic
dog,Fleas,"I'm worried, my dog has red, irritated skin.",mild,yes,synthetic
dog,Fleas,"My dog shows tiny skin bumps, red, irritated skin, and visible fleas or flea dirt.",mild,yes,synthetic
dog,Fleas,"My dog shows frequent itching, visible fleas or flea dirt, and tiny skin bumps.",mild,yes,synthetic
dog,Fleas,My dog keeps tiny skin bumps.,mild,yes,synthetic
dog,Fleas,My dog has been frequent itching with chewing at their skin and tiny skin bumps.,mild,yes,synthetic
dog,Fleas,"My dog has chewing at their skin, also tiny skin bumps.",mild,yes,synthetic
dog,Fleas,My dog won't stop tiny skin bumps.,mild,yes,synthetic
dog,Fleas,"My dog is tiny skin bumps with red, irritated skin.",mild,yes,synthetic
dog,Fleas,"My dog has tiny skin bumps, frequent itching, and red, irritated skin.",mild,yes,synthetic
dog,Fleas,My dog seems sick with visible fleas or flea dirt.,mild,yes,synthetic
dog,Heartworms,"My dog has excessive panting, also coughing, fatigue, exercise intolerance — still visible symptoms.",severe,no,real
dog,Heartworms,My dog has been collapse and excessive panting.,severe,no,synthetic
dog,Heartworms,My dog has been ascites.,severe,no,synthetic
dog,Heartworms,My dog keeps excessive panting.,severe,no,synthetic
dog,Heartworms,"I'm worried, my dog has collapse.",severe,no,synthetic
dog,Heartworms,"My dog shows difficulty breathing, collapse, and ascites.",severe,no,synthetic
dog,Heartworms,"My dog shows lethargy, coughing, fatigue, exercise intolerance — still visible symptoms, and difficulty breathing.",severe,no,synthetic
dog,Heartworms,My dog keeps difficulty breathing.,severe,no,synthetic
dog,Heartworms,"My dog has been coughing, fatigue, exercise intolerance — still visible symptoms with heart failure and difficulty breathing.",severe,no,synthetic
dog,Heartworms,"My dog has heart failure, also weight loss.",severe,no,synthetic
dog,Heartworms,My dog won't stop weight loss.,severe,no,synthetic
dog,Heartworms,My dog is difficulty breathing with sudden death.,severe,no,synthetic
dog,Heartworms,"My dog has weight loss, coughing, fatigue, exercise intolerance — still visible symptoms, and sudden death.",severe,no,synthetic
dog,Heartworms,My dog seems sick with collapse.,severe,no,synthetic
