species,disease,symptoms,urgency,contagious,source
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weight_loss, weakness",moderate,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weight_loss",moderate,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, swelling",moderate,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, swelling",moderate,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weight_loss",moderate,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weight_loss",moderate,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, swelling",moderate,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weight_loss, swelling",moderate,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, swelling, weight_loss",moderate,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weight_loss",moderate,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weakness, weight_loss, swelling",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, swelling, weight_loss, weakness",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weakness, weight_loss, swelling",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weakness, swelling, weight_loss",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weight_loss, weakness, swelling",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weakness, weight_loss, swelling",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weakness, weight_loss",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weakness, weight_loss",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weakness, weight_loss",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weight_loss, weakness, swelling",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weight_loss, weakness, swelling",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weight_loss, weakness, swelling",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, swelling, weakness, weight_loss",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, swelling, weight_loss, weakness",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, swelling, weight_loss, weakness",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, swelling, weakness, weight_loss",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weight_loss, weakness, swelling",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, weakness, weight_loss, swelling",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, swelling, weight_loss, weakness",high,yes,structured_from_vet_verified
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"lethargy, skin_lesions, swelling, weakness, weight_loss",high,yes,structured_from_vet_verified
Dog,ACL Tear,"lameness, limping, stiffness, swelling",medium,no,structured_from_vet_verified
Dog,ACL Tear,"lameness, limping, stiffness",medium,no,structured_from_vet_verified
Dog,ACL Tear,"lameness, limping, stiffness",medium,no,structured_from_vet_verified
Dog,ACL Tear,"lameness, limping, swelling",medium,no,structured_from_vet_verified
Dog,ACL Tear,"lameness, limping, swelling, stiffness",medium,no,structured_from_vet_verified
Dog,ACL Tear,"lameness, limping, stiffness",medium,no,structured_from_vet_verified
